statement,justification,label,label_int
"The Republicans have emerged from this case study with “egg on their faces”, as the falsity of the allegations has shown, again, the duplicitous behaviour of the Republicans, that they are not trustworthy.",This sentence criticizes the political outcome and partisan behavior of the Republicans without discussing a specific countermeasure or its effectiveness.,Non-Countermeasure Related,2
Recommendation: Don’t jump to conclusions.,"This is a recommended action to prevent hasty decisions based on unverified information, aimed at counteracting misinformation.",Recommended Countermeasure,3
Resist making public unverified reports.,This sentence suggests a proactive step to avoid the spread of misinformation by recommending against publishing unverified reports.,Recommended Countermeasure,3
"Verify allegations, especially those of a sensationalist nature, before amplifying them.",The sentence suggests verifying allegations as a proposed action to prevent the spread of disinformation or sensationalist content.,Recommended Countermeasure,3
Consult the DISARM blue framework for its countermeasures against FIMI.,"This sentence proposes consulting a framework for countermeasures, which implies an action that could be taken to address foreign information manipulation and interference.",Recommended Countermeasure,3
Particularly pertinent in the case study are these two countermeasures: C00115: Expose actor and intentions and C00184: Media exposure.,The sentence suggests specific countermeasures to be considered for dealing with foreign information manipulation and interference (FIMI).,Recommended Countermeasure,3
Exposing Smirnov as a liar and Russian agent in the media was warranted in view of how widely the original allegations were covered.,The sentence describes a concrete action already taken to counter disinformation by exposing a key actor in the media.,Applied Countermeasure,0
"It is useful to track where the FIMI appears in the social and traditional media and elsewhere (e.g., in emails) to make sure they carry corrections, despite their probable resistance to be exposed as having given credence to falsities and therefore untrustworthy.",The sentence proposes a monitoring action as a strategy to ensure corrections are made to false information.,Recommended Countermeasure,3
"If some media refuse to issue a correction, they can be called out publicly by more reputable sources.","This suggests a specific action that can be taken if media outlets do not issue corrections, indicating a proposed strategy to handle non-compliance.",Recommended Countermeasure,3
How Russian FIMI actors reacted to the US aid package,The sentence introduces a topic on the reaction of Russian FIMI actors but does not address any countermeasures or responses.,Non-Countermeasure Related,2
This case describes the reaction to the situation when the US Congress finally agreed a big new funding support for Ukraine in April 2024.,The sentence describes a political event and the corresponding reaction but does not involve any countermeasures.,Non-Countermeasure Related,2
The Russian FIMI actor focused on mobilising internal support.,This sentence discusses the actions of a Russian FIMI actor without addressing any counteractions or responses.,Non-Countermeasure Related,2
"At the same time, discussion in the US on delivering aid to Ukraine sparked additional worries in the European Union about whether Ukraine would be capable of continuing to resist Russian aggression without American support.",The sentence provides analysis of geopolitical concerns without discussing countermeasures or responses to disinformation.,Non-Countermeasure Related,2
"In this regard, some important initiatives, for example, in Czech Republic, were raised in response to the growing concern in Europe.",The sentence describes initiatives that were implemented in Czech Republic in response to concerns about disinformation.,Applied Countermeasure,0
The best countermeasure in this case would be to avoid being directly involved in counter-communication.,The sentence proposes a strategy to avoid direct involvement in counter-communication as a means to combat disinformation.,Recommended Countermeasure,3
"Instead, in such circumstances, it is better for the West to share knowledge about the way the public awareness has responded to the US package.",The sentence suggests sharing knowledge about public response as a recommended countermeasure.,Recommended Countermeasure,3
"In such cases, European, American and Ukrainian communication actors should introduce their own narratives and control information flow by imposing details about the discussed topic.",The sentence proposes introducing own narratives and controlling information flow as a strategy to counter disinformation.,Recommended Countermeasure,3
An information flood with particulars from the US could be an effective way of putting cognitive pressure on the Russian FIMI counterparts.,The sentence suggests flooding information from US sources as a proposed strategy to exert pressure on Russian disinformation actors.,Recommended Countermeasure,3
"One conclusion from this case is that it revealed the trend of the Russian FIMI actor's reactions to the event, which can be valuable for European decision-makers’ assessment of the situation.","The sentence assesses the value of understanding Russian reactions for European decision-makers, indicating a measure of effectiveness of countermeasures.",Countermeasure Effectiveness,1
"The case study revealed the weakness of public discussion, which influenced political sentiments about the severe investment in foreign states to support international order and power balance, which remained very far in terms of benefits' understanding for the simple voters.",The sentence discusses political sentiment and public understanding without proposing or describing a disinformation countermeasure.,Non-Countermeasure Related,2
"The necessity to align or support with other states, as the USA does to maintain support for Ukraine, is always limited by the extent of the voter's support of the politicians and decision-makers who take this decision or vote for that.",The sentence discusses political support dynamics without addressing countermeasures against disinformation.,Non-Countermeasure Related,2
"This case revealed how important it is for the state to communicate why investing in security, stability and deterrence is a crucial expense; otherwise, it creates a broad space for the double standards promoted via FIMI campaigns, leading to political blockage.",The sentence emphasizes the need for state communication on security investments but does not detail a specific disinformation countermeasure.,Non-Countermeasure Related,2
The case study also led us to some recommendations in regard to the DISARM Framework.,"The sentence mentions upcoming recommendations related to a framework for responding to disinformation, indicating a proposed set of countermeasures.",Recommended Countermeasure,3
One is that it could include a tool for measuring the time taken for the proper reaction or response to the start of the FIMI activity.,"The sentence suggests the creation of a tool to measure the response time to FIMI activity, indicating a proposed action not yet implemented.",Recommended Countermeasure,3
"The DISARM Framework could also create a separate technique for spreading information via state-owned media networks within the set of channels, which could be employed alongside the diplomatic communication channels.","This sentence proposes a new technique for information dissemination using state-owned media, suggesting a countermeasure that has not yet been implemented.",Recommended Countermeasure,3
We need to consider the other political and state-related influencers as separate tools in delivering information within the FIMI campaign.,"This sentence recommends considering political and state influencers as tools for information delivery, proposing a countermeasure approach.",Recommended Countermeasure,3
"Within the audience analysis, DISARM should rely on a structured approach, describing the main target audience and independent targeting, considering that the processes involve many more stakeholders unintentionally.","The sentence suggests a structured approach for audience analysis as part of the DISARM framework to identify target audiences and stakeholders, a recommended countermeasure.",Recommended Countermeasure,3
Such a tool would enable researchers to predict unexpected outcomes of FIMI and construct more nuanced countermeasures.,"This sentence proposes creating a tool to predict unexpected outcomes of FIMI, thereby suggesting an enhancement to future countermeasures.",Recommended Countermeasure,3
Russian initiatives to use farmers' protests in Germany,This sentence provides a brief mention of Russian initiatives but does not describe or recommend a countermeasure.,Non-Countermeasure Related,2
"As the effectiveness of the attack remained mostly unsuccessful, there weren´t many countermeasures to be taken.","The sentence evaluates the situation by stating that the attack was mostly unsuccessful, and therefore, few countermeasures were needed.",Countermeasure Effectiveness,1
"It might be worth researching whether the alignment of the farmers protest with the conservative, pro-Ukrainian CDU/CSU parties was an intentional countermeasure against any FIMI attack.","The sentence recommends researching the potential intentional alignment as a countermeasure, suggesting an exploration of a hypothetical strategy.",Recommended Countermeasure,3
"Based on the history of these parties, especially the Bavarian CSU, as a pro-agrarian sector party, it might be far-fetched to assume that this alignment was planned as a countermeasure.","The sentence assesses the likelihood and effectiveness of the alignment being an intentional countermeasure, suggesting it is unlikely and, thus, not effective.",Countermeasure Effectiveness,1
"One notable countermeasure was when Robert Habeck, Federal Minister for Economic Affairs and Climate Action, publicly warned that some right-wing extremist would try so infiltrate the protest.","This sentence describes a specific action taken by Robert Habeck as a public warning, which qualifies as an applied countermeasure.",Applied Countermeasure,0
"While a lot of protestors saw this “warning” as an insult, it did, however, force the movement to distance itself from any right-wing demands and to evaluate their protest along the way.","The sentence describes an action taken by the protest movement to distance itself from right-wing demands, which is a form of self-regulation and countermeasure against the manipulation attempt.",Applied Countermeasure,0
Whether this countermeasure did indeed stop the spread of the FIMI attack is speculative.,"The sentence evaluates the effectiveness of a countermeasure, stating that its impact on stopping the FIMI attack is speculative.",Countermeasure Effectiveness,1
This Russian campaign against Germany during the farmers protest is another great example of a foreign power trying to usurp a political topic/crisis in order to use it for their own political agenda.,The sentence provides an analysis of a foreign campaign's intent without discussing any specific countermeasure.,Non-Countermeasure Related,2
"Thankfully in this case, the ones who were organising the demonstrations, the farmers, were such a cohesion group with a high level of organisation, that the campaign could be detected and dismissed quickly and easily.","The sentence describes how the farmers' organization and cohesion enabled them to detect and dismiss the foreign campaign, which is an action taken to counteract the disinformation.",Applied Countermeasure,0
"The moment that the leaders of the protest stepped forward and denounced any claims from the campaign, the chances of foreign involvement collapsed.","The sentence describes the leaders of the protest publicly denouncing claims from a campaign, which is a direct action to counter foreign influence.",Applied Countermeasure,0
"If anything, a recommendation from this incident is that other groups should take it as an example on how to protect their protest and their interest against a foreign power trying to usurp their, sometimes rightfully, cause.","The sentence suggests that other groups should use this incident as an example to protect themselves against foreign influence, which is a proposed countermeasure.",Recommended Countermeasure,3
Russian FIMI about burning the Quran in Sweden,"The sentence is a heading or topic statement about Russian FIMI operations, not addressing any specific countermeasure.",Non-Countermeasure Related,2
"Regarding the Quran burnings in Sweden, it is essential to differentiate between the act itself and the subsequent exploitation of the event.","The sentence provides analysis on the need to differentiate between the act and its exploitation, without discussing any countermeasure.",Non-Countermeasure Related,2
"While the Quran burnings themselves were not fabricated, the manner in which the event was leveraged by Russian actors constitutes a FIMI operation, as the narratives included false claims about the Swedish government's support for such acts, aiming to fuel anger and mistrust among Muslim communities globally.",The sentence analyzes the nature of the FIMI operation without discussing any countermeasure.,Non-Countermeasure Related,2
The exploitation of Quran burnings in Sweden fit within a broader strategy to disrupt Sweden’s NATO membership process by sowing discord and polarizing opinions both within Sweden and internationally.,The sentence discusses the strategic objectives of the exploitation of Quran burnings but does not address any countermeasure efforts.,Non-Countermeasure Related,2
"Even though the lack of direct attribution to specific Russian actors does complicate the classification, the patterns of behaviour align with known Russian FIMI tactics.",The sentence provides an analysis of Russian tactics without addressing any response or countermeasure.,Non-Countermeasure Related,2
"Russian disinformation efforts, particularly focusing on social media as a significant battlefield for information warfare, have been subject to extensive analyses by most Western countries’ cybersecurity firms, intelligence agencies and academic research.","The sentence describes the analysis of Russian disinformation efforts by various entities, which is an action taken to understand and potentially counter these efforts.",Applied Countermeasure,0
The effectiveness of these campaigns and the impact of Western countermeasures remain subjects of ongoing analysis and debate.,The sentence explicitly discusses the ongoing analysis and debate about the effectiveness of countermeasures against disinformation campaigns.,Countermeasure Effectiveness,1
"For a long time, digitisation was seen as a development that more or less exclusively benefited democracy.",This sentence provides a general observation about digitisation and democracy without discussing countermeasures.,Non-Countermeasure Related,2
The positive development of democracy that took place in large parts of the world during the 1990s also contributed to a hopeful assessment of the security situation.,The sentence offers a historical perspective on democracy and security without proposing or describing a countermeasure.,Non-Countermeasure Related,2
"Consequently, the psychological defence and the work of following foreign influence operations was gradually scaled down.","This sentence describes the reduction of psychological defense efforts, not a countermeasure or its recommendation.",Non-Countermeasure Related,2
Sweden has been somewhat unprepared for this kind of new threat picture with the disinformation and propaganda that have arisen in recent years.,The sentence provides an assessment of Sweden's readiness without proposing or describing a countermeasure.,Non-Countermeasure Related,2
In 2020 came a proposal to form a special psychological defence authority.,"This sentence describes a proposed action to form a psychological defence authority, which is a recommended countermeasure.",Recommended Countermeasure,3
The Psychological Defence Agency was established in January 2022.,"The sentence reports the establishment of the Psychological Defence Agency, which is an action taken to counter information threats.",Applied Countermeasure,0
"Other Swedish organisations that work with media and information literacy and other resilience-building efforts worth mentioning are: Internetstiftelsen, Filmpedagogerna Folkets Bio, Svensk biblioteksförening, Wikimedia Sverige, Expo, Folk och Försvar, Psyopsförbundet, Arbetsmarknadens parter, Pensionärernas riksorganisation (PRO), SPF Seniorerna, SeniorNet, IT-Guide.","This sentence enumerates organizations involved in resilience-building and information literacy, reflecting actions taken to combat disinformation.",Applied Countermeasure,0
"These organisations all fall under the FIMI countermeasure category: Literacy (i.e., public awareness and education), as they all aim to strengthen the target group's IT skills.","The sentence describes organizations focusing on empowering groups through IT skill enhancement, fitting within the framework of public awareness and education as a countermeasure.",Applied Countermeasure,0
"Effective countermeasures against disinformation campaigns require a multi-faceted approach, involving cooperation between governments, private sector entities (especially social media platforms), civil society and the public.","The sentence provides a recommendation for a broad, coordinated approach involving various societal sectors to combat disinformation, which is suggested but not necessarily yet implemented.",Recommended Countermeasure,3
"Additionally, transparency and maintaining the public's trust are crucial elements in any response strategy.","The sentence suggests that transparency and public trust are essential elements in strategies to counter disinformation, indicating a recommended approach rather than a specific implemented action.",Recommended Countermeasure,3
"For specific actions taken by Sweden or other entities in response to the mentioned FIMI campaign, it is advisable to consult official sources, government announcements or reports from credible research institutions and think tanks that focus on disinformation and cybersecurity.",The sentence advises consulting external sources for information but does not describe or recommend a countermeasure itself.,Non-Countermeasure Related,2
Another approach for determining the countermeasures for countering the Russian FIMI campaign related to the Quran burnings in Sweden is by looking at the countermeasures listed in the MITRE ATT&CK framework and the DISARM framework.,"The sentence suggests using the MITRE ATT&CK and DISARM frameworks to identify countermeasures for a specific campaign, indicating a recommendation.",Recommended Countermeasure,3
"These frameworks hold several countermeasures but given the nature of this FIMI campaign, which involved manipulating public opinion through disinformation spread across various media channels, the most relevant countermeasures, as indicated above, are thought to be focused on enhancing information security, educating users and controlling access.","The sentence recommends specific types of countermeasures (enhancing information security, educating users, controlling access) to address a particular disinformation campaign, implying a suggestion.",Recommended Countermeasure,3
Table 2 summarises a suggested list of the most relevant countermeasures based on their potential impact on reducing the effectiveness of the Russian FIMI campaign at discussion.,"The sentence refers to a suggested list of countermeasures meant to reduce the campaign's effectiveness, which implies they are recommended rather than implemented.",Recommended Countermeasure,3
"We have selected the countermeasures from the MITRE ATT&CK mitigations, the DISARM countermeasures and the more general, broad types of countermeasures for various FIMI campaigns, referenced above.",The selection of countermeasures from specific frameworks for discussion implies a recommendation or proposed use rather than describing implemented actions.,Recommended Countermeasure,3
The most relevant countermeasures are based on their potential impact on reducing the effectiveness of the Russian FIMI campaign against Quran burning in Sweden.,"The focus on potential impact indicates that these are proposed or suggested countermeasures, rather than actions that have been taken.",Recommended Countermeasure,3
"The MITRE ATT&CK mitigation categories with an * are considered fundamental and were most probably already in place, and likely did not have a large effect on this specific FIMI campaign.","The sentence assesses the effectiveness of fundamental mitigation categories, suggesting they were likely implemented but had minimal impact, thus evaluating effectiveness.",Countermeasure Effectiveness,1
It was launched anyway.,"The sentence does not describe or evaluate a countermeasure, nor does it suggest any action related to disinformation. It provides no context for a countermeasure action or its assessment.",Non-Countermeasure Related,2
All DISARM tactics fall under the “Tactic stage” [TA01].,This sentence categorizes DISARM tactics within a stage but does not detail any countermeasure actions or their effectiveness against disinformation.,Non-Countermeasure Related,2
Table 2: Countermeasures,"This sentence serves as a heading or reference to a table, not providing specific information on a countermeasure or evaluating its effectiveness.",Non-Countermeasure Related,2
"MITRE ATTA&CK mitigation categoriesDISARM countermeasureGeneral taxonomy of countermeasuresUser training - combats disinformation by enhancing the public's ability to discern reliable sources from misleading ones, thereby reducing the likelihood of misinformation being accepted and spread.","The sentence suggests user training as a way to combat disinformation, which aims to improve the public's ability to identify reliable information sources as a proposed action.",Recommended Countermeasure,3
"[TA01] C00073: Inoculate populations through media literacy training - This countermeasure directly addresses the need to empower the public to critically evaluate information, making them less susceptible to disinformation tactics.","This sentence recommends media literacy training to empower the public and reduce susceptibility to disinformation, describing a proposed action to counter false narratives.",Recommended Countermeasure,3
"Literacy (i.e., public awareness and education)Threat intelligence program: Knowing the tactics used in disinformation allowed Swedish authorities and organisations to proactively counter misleading narratives about Sweden's societal and political stance, preventing escalation and misperceptions internationally.","The sentence mentions an implemented threat intelligence program in Sweden used to counter misleading narratives proactively, indicating a concrete action taken against disinformation.",Applied Countermeasure,0
"[TA01] C00220: Develop a monitoring and intelligence plan - A proactive monitoring plan can detect disinformation early, allowing for quicker responses that can limit the spread and impact of false narratives.","The development of a monitoring and intelligence plan is proposed as a strategy to detect and respond to disinformation, presenting a recommended action.",Recommended Countermeasure,3
Cybersecurity measures and verificationsUser account management: Managing user accounts meticulously to ensure that only authorised personnel have access to sensitive systems and information can prevent misuse of internal systems to spread disinformation.,"Describes the recommendation of user account management as a preventive strategy to stop disinformation spread within internal systems, implying a suggested action.",Recommended Countermeasure,3
"Network segmentation: Segmenting networks limits the reach of any infiltrated disinformation internally, protecting sensitive information and restricting cross-network spread of harmful data.","The sentence suggests network segmentation as a method to limit internal spread and infiltration of disinformation, highlighting a proposed countermeasure.",Recommended Countermeasure,3
Filter network traffic: Filtering traffic helps identify and block incoming disinformation efforts and control the spread of harmful narratives externally aimed at influencing Swedish society or international perception.,"Recommends filtering network traffic to identify and block disinformation, suggesting a strategy to control the dissemination of harmful narratives.",Recommended Countermeasure,3
[TA01] C00153: Take pre-emptive action against actors' infrastructure: Targeting the infrastructure used in disinformation campaigns can disrupt their operations and reduce their capacity to spread false narratives.,"Proposes targeting disinformation campaign infrastructure as a pre-emptive measure to disrupt operations, indicating a recommended strategy.",Recommended Countermeasure,3
*Data back-up: Ensuring that data is regularly backed up can help mitigate the impact of a campaign that might include cyberattacks designed to delete or corrupt data as a form of disruption.,"Recommends regular data backups as a mitigation strategy against data disruption through disinformation-related cyberattacks, suggesting a preventive measure.",Recommended Countermeasure,3
"*Antivirus or antimalware: Protecting systems against malware, which can be used to spread disinformation or to conduct cyberattacks that support FIMI campaigns, is fundamental.","The use of antivirus or antimalware is advocated as a fundamental strategy to protect against malware aiding disinformation and cyberattacks, indicating a suggested measure.",Recommended Countermeasure,3
*Multi-factor authentication: Securing communication and information systems within Swedish government and media prevents unauthorised leaks or misuse of platforms that could exacerbate or distort the FIMI narrative.,"Recommends multi-factor authentication as a security measure to safeguard communication systems against misuse that could distort narratives, presenting it as a proposed countermeasure.",Recommended Countermeasure,3
"Repair broken social connections: Summary: Encouraging real-world interactions can help bridge divides exploited by disinformation campaigns, thereby repairing social cohesion.","The sentence suggests encouraging real-world interactions as a way to counteract disinformation campaigns, but it does not indicate that this action has already been implemented.",Recommended Countermeasure,3
"Promote healthy narratives: By promoting healthy narratives, it's possible to dilute the impact of divisive disinformation and foster a more informed and less polarised public discourse.",The sentence recommends promoting healthy narratives as a strategy to mitigate disinformation but does not describe an action that has already been taken.,Recommended Countermeasure,3
Inoculate. Positive campaign to promote feeling of safety: Positively framed campaigns that enhance the public's sense of security can mitigate the fear and uncertainty that disinformation campaigns often exploit.,"The sentence proposes positive campaigns for promoting a sense of security to counter disinformation-induced fear, indicating a recommendation rather than an applied measure.",Recommended Countermeasure,3
"Strengthen institutions that are always truth tellers: Strengthened institutions can serve as beacons of reliable information, making it harder for disinformation to take root.","The sentence recommends strengthening institutions to counter disinformation, suggesting a potential strategy rather than a measure that has been implemented.",Recommended Countermeasure,3
"Open engagement with civil society - Engaging with civil society can help ensure a multiplicity of voices and perspectives, which can counteract the narratives pushed by disinformation campaigns.","The sentence suggests engaging with civil society as a strategy to counter disinformation narratives, indicating a recommended course of action.",Recommended Countermeasure,3
Restrict Web-based content: Implementing web filters to restrict access to known disinformation sources can help reduce the risk of such content reaching users within an organisation or network.,"The sentence suggests implementing web filters as a strategy to mitigate the impact of disinformation, characterizing it as a recommended countermeasure.",Recommended Countermeasure,3
"Social media monitoring and response (i.e., content moderation or content curation).","The sentence suggests social media monitoring and response through content moderation or curation, proposing a strategy not confirmed as already implemented.",Recommended Countermeasure,3
"Audit: Auditing can reveal patterns of disinformation spread or attempts to infiltrate systems, allowing Swedish authorities to respond quickly to misinformation about the Quran burnings and related events.","The sentence suggests auditing as a means to identify disinformation patterns quickly, recommending a potential strategy.",Recommended Countermeasure,3
"User training - combats disinformation by enhancing the public's ability to discern reliable sources from misleading ones, thereby reducing the likelihood of misinformation being accepted and spread.","The sentence proposes user training to enhance public discernment against misinformation, characterizing it as a suggested countermeasure.",Recommended Countermeasure,3
"[TA01] C00073: Inoculate populations through media literacy training - This countermeasure directly addresses the need to empower the public to critically evaluate information, making them less susceptible to disinformation tactics.Literacy (i.e., public awareness and education)","The sentence recommends using media literacy training as a tactic to empower the public and reduce susceptibility to disinformation, but does not mention a specific instance where it has already been applied.",Recommended Countermeasure,3
"[TA01] C00073: Inoculate populations through media literacy training - This countermeasure directly addresses the need to empower the public to critically evaluate information, making them less susceptible to disinformation tactics.","Similar to the previous sentence, it recommends media literacy training as a method to counter disinformation, focusing on public empowerment without providing evidence of implementation.",Recommended Countermeasure,3
"Literacy (i.e., public awareness and education)","The mention of literacy in terms of public awareness and education suggests a general strategy for combating disinformation, but it doesn't specify a completed action.",Recommended Countermeasure,3
"Threat intelligence program: Knowing the tactics used in disinformation allowed Swedish authorities and organisations to proactively counter misleading narratives about Sweden's societal and political stance, preventing escalation and misperceptions internationally.","The sentence describes how Swedish authorities used a threat intelligence program to counter disinformation actively and prevent misperceptions, indicating that this strategy has been implemented.",Applied Countermeasure,0
"[TA01] C00220: Develop a monitoring and intelligence plan - A proactive monitoring plan can detect disinformation early, allowing for quicker responses that can limit the spread and impact of false narratives.Cybersecurity measures and verifications","This sentence recommends developing a monitoring and intelligence plan as a method to detect and respond to disinformation early, characterized as a proactive strategy rather than an action taken.",Recommended Countermeasure,3
"[TA01] C00220: Develop a monitoring and intelligence plan - A proactive monitoring plan can detect disinformation early, allowing for quicker responses that can limit the spread and impact of false narratives.","The sentence suggests creating a monitoring and intelligence plan to combat disinformation, indicating a strategic recommendation not yet realized.",Recommended Countermeasure,3
Cybersecurity measures and verifications,"This phrase implies the recommendation of cybersecurity measures as a general preventive tactic against disinformation, lacking specificity in terms of concrete actions taken.",Recommended Countermeasure,3
User account management: Managing user accounts meticulously to ensure that only authorised personnel have access to sensitive systems and information can prevent misuse of internal systems to spread disinformation.,"The sentence proposes user account management as a method to prevent internal system misuse for disinformation, suggesting a strategy but not confirming its implementation.",Recommended Countermeasure,3
"Network segmentation: Segmenting networks limits the reach of any infiltrated disinformation internally, protecting sensitive information and restricting cross-network spread of harmful data.","This sentence recommends network segmentation as a way to control the spread of disinformation, representing a suggested, rather than applied, approach.",Recommended Countermeasure,3
Filter network traffic: Filtering traffic helps identify and block incoming disinformation efforts and control the spread of harmful narratives externally aimed at influencing Swedish society or international perception.,"It suggests filtering network traffic as a method to block disinformation, focusing on the recommendation of a tactic rather than specifying an executed action.",Recommended Countermeasure,3
"[TA 01] C00017: Repair broken social connections: Summary: Encouraging real-world interactions can help bridge divides exploited by disinformation campaigns, thereby repairing social cohesion.Counter FIMI campaigns and narratives","The sentence suggests encouraging real-world interactions as a way to counteract disinformation campaigns, which is a proposed action rather than one that has already been implemented.",Recommended Countermeasure,3
"[TA 01] C00017: Repair broken social connections: Summary: Encouraging real-world interactions can help bridge divides exploited by disinformation campaigns, thereby repairing social cohesion.","This sentence proposes a strategy to counter disinformation by encouraging real-life interactions, indicating it is a recommendation rather than an applied measure.",Recommended Countermeasure,3
Counter FIMI campaigns and narratives,"The sentence simply states the intent to counter campaigns and narratives without detailing any action or proposal, thus it doesn't classify as a countermeasure or a recommendation.",Non-Countermeasure Related,2
"[TA01] C00024: Promote healthy narratives: By promoting healthy narratives, it's possible to dilute the impact of divisive disinformation and foster a more informed and less polarised public discourse.","This sentence describes a proposed strategy to diminish disinformation influence by promoting healthy narratives, thus qualifying it as a recommendation.",Recommended Countermeasure,3
"[TA01] C00096: Strengthen institutions that are always truth tellers: Strengthened institutions can serve as beacons of reliable information, making it harder for disinformation to take root.Other","The sentence suggests strengthening institutions to act as reliable information sources to combat disinformation, indicating a recommendation for future action.",Recommended Countermeasure,3
"[TA01] C00096: Strengthen institutions that are always truth tellers: Strengthened institutions can serve as beacons of reliable information, making it harder for disinformation to take root.","Like the previous, this sentence recommends strengthening institutions as a way to combat disinformation.",Recommended Countermeasure,3
Other,"The word 'Other' lacks context in relation to disinformation or counteraction strategies, thus it does not describe or recommend a countermeasure.",Non-Countermeasure Related,2
"[TA01] C00190: Open engagement with civil society - Engaging with civil society can help ensure a multiplicity of voices and perspectives, which can counteract the narratives pushed by disinformation campaigns.","The sentence recommends engaging with civil society as a way to counteract disinformation, suggesting it as a tactic to consider.",Recommended Countermeasure,3
Restrict Web-based content: Implementing web filters to restrict access to known disinformation sources can help reduce the risk of such content reaching users within an organisation or network.,"The sentence proposes a strategy to restrict access to disinformation sources via web filtering, indicating a suggested action.",Recommended Countermeasure,3
"Social media monitoring and response (i.e., content moderation or content curation)","This phrase proposes monitoring and responding on social media through content curation and moderation as a measure against disinformation, indicating a recommendation.",Recommended Countermeasure,3
"Audit: Auditing can reveal patterns of disinformation spread or attempts to infiltrate systems, allowing Swedish authorities to respond quickly to misinformation about the Quran burnings and related events.Changes in policy","The sentence suggests a possible action—auditing—that can help authorities respond quickly, but it does not state that the action has been implemented. It proposes auditing as a proactive approach.",Recommended Countermeasure,3
"Audit: Auditing can reveal patterns of disinformation spread or attempts to infiltrate systems, allowing Swedish authorities to respond quickly to misinformation about the Quran burnings and related events.","This sentence proposes auditing as a means to identify disinformation patterns, suggesting it as a possible action but not indicating it has been acted upon.",Recommended Countermeasure,3
Audit:,"The sentence is incomplete and does not provide meaningful information about a specific action, recommendation, or effectiveness evaluation related to disinformation.",Non-Countermeasure Related,2
Changes in policy,"This is a fragment that does not provide context or detail about any specific countermeasure, its proposal, or evaluation of effectiveness.",Non-Countermeasure Related,2
